day,runs,not_green_pct
2026-09-13,43,7.0
2026-09-14,82,22.0
workflowName,failed_at,red_for
GHA 04: data between steps and jobs,2026-09-14 12:47:40,NULL
GHA 04: exercise checks,2026-09-14 13:05:23,NULL
GHA 05: exercise checks,2026-09-14 13:12:27,NULL
GHA 05: exercise checks,2026-09-14 13:16:06,NULL
GHA 05: exercise checks,2026-09-14 13:18:20,NULL
GHA 06: exercise checks,2026-09-14 13:24:13,NULL
GHA 10: exercise checks,2026-09-14 13:53:12,NULL
Rust course examples,2026-09-13 19:09:08,00:03:48
Deploy to GitHub Pages,2026-09-14 13:36:16,00:03:46
Rust course examples,2026-09-13 17:40:34,00:02:15
GHA 09: exercise checks,2026-09-14 13:46:43,00:02:13
GHA 03: triggers,2026-09-14 12:45:24,00:02:05
GHA 03: triggers,2026-09-14 12:45:38,00:01:51
GHA 10: custom actions,2026-09-14 13:53:04,00:01:03
Deploy to GitHub Pages,2026-09-14 12:45:39,00:00:59
Rust course examples,2026-09-13 17:41:56,00:00:53
workflowName,last_conclusion
GHA 04: data between steps and jobs,failure
GHA 04: exercise checks,failure
GHA 05: exercise checks,failure
GHA 06: exercise checks,failure
GHA 06: undeclared input,startup_failure
GHA 09: debugging,cancelled
GHA 10: exercise checks,failure
