url,locale,course,title,lines
/artifacts/,en,artifacts,Artifacts,32
/duckdb/01-first-queries/,en,duckdb,1. First queries,474
/duckdb/02-friendly-sql/,en,duckdb,2. Friendly SQL,341
/duckdb/03-nested-data/,en,duckdb,3. Nested data,326
/duckdb/04-files/,en,duckdb,4. Files,358
/duckdb/05-csharp/,en,duckdb,5. DuckDB from C#,350
/duckdb/06-java/,en,duckdb,6. DuckDB from Java,339
/duckdb/07-performance/,en,duckdb,7. Performance,448
/duckdb/08-persistence/,en,duckdb,"8. Persistence, transactions and concurrency",394
/duckdb/,en,duckdb,DuckDB — Mission,70
/duckdb/journal/,en,duckdb,Journal,77
/es/artifacts/,es,artifacts,Artefactos,32
/es/duckdb/01-first-queries/,es,duckdb,1. Primeras consultas,474
/es/duckdb/02-friendly-sql/,es,duckdb,2. Friendly SQL,341
/es/duckdb/03-nested-data/,es,duckdb,3. Datos anidados,326
/es/duckdb/04-files/,es,duckdb,4. Archivos,358
/es/duckdb/05-csharp/,es,duckdb,5. DuckDB desde C#,350
/es/duckdb/06-java/,es,duckdb,6. DuckDB desde Java,339
/es/duckdb/07-performance/,es,duckdb,7. Rendimiento,448
/es/duckdb/08-persistence/,es,duckdb,"8. Persistencia, transacciones y concurrencia",394
/es/duckdb/,es,duckdb,DuckDB — Misión,70
/es/duckdb/journal/,es,duckdb,Diario,77
/es/github-actions/01-first-workflow/,es,github-actions,1. Primer workflow,223
/es/github-actions/02-build-and-test/,es,github-actions,2. Compilar y probar .NET y Java,268
/es/github-actions/03-triggers/,es,github-actions,"3. Disparadores, filtros y concurrencia",216
/es/github-actions/04-expressions-and-outputs/,es,github-actions,"4. Expresiones, contextos y salidas",271
/es/github-actions/05-caches-and-artifacts/,es,github-actions,5. Cachés y artefactos,323
/es/github-actions/06-reuse/,es,github-actions,6. Workflows reutilizables y acciones compuestas,272
/es/github-actions/07-security/,es,github-actions,"7. Seguridad: permisos, secretos, fijación de versiones, OIDC",250
/es/github-actions/08-pages/,es,github-actions,8. Desplegar en GitHub Pages,223
/es/github-actions/09-debugging/,es,github-actions,9. Depurar ejecuciones,305
/es/github-actions/10-custom-action/,es,github-actions,10. Escribir tu propia acción,270
/es/github-actions/,es,github-actions,GitHub Actions — Misión,54
/es/github-actions/journal/,es,github-actions,Diario,110
/es/,es,,learn,90
/es/java-for-csharp/01-jdk-and-build-tools/,es,java-for-csharp,1. El JDK y las herramientas de build,401
/es/java-for-csharp/02-types-and-operators/,es,java-for-csharp,"2. Tipos, igualdad y operadores",349
/es/java-for-csharp/03-classes-records-enums/,es,java-for-csharp,"3. Clases, records y enums",562
/es/java-for-csharp/04-generics-and-erasure/,es,java-for-csharp,4. Genéricos y borrado de tipos,477
/es/java-for-csharp/05-exceptions-null-optional/,es,java-for-csharp,"5. Excepciones, null y Optional",577
/es/java-for-csharp/06-lambdas-and-functional-interfaces/,es,java-for-csharp,6. Lambdas e interfaces funcionales,458
/es/java-for-csharp/07-collections-and-streams/,es,java-for-csharp,7. Colecciones y Streams,449
/es/java-for-csharp/08-pattern-matching/,es,java-for-csharp,8. Pattern matching,462
/es/java-for-csharp/09-concurrency-and-virtual-threads/,es,java-for-csharp,9. Concurrencia e hilos virtuales,647
/es/java-for-csharp/10-maven-and-gradle-in-depth/,es,java-for-csharp,10. Maven y Gradle a fondo,556
/es/java-for-csharp/11-testing/,es,java-for-csharp,11. Pruebas,546
/es/java-for-csharp/12-standard-library/,es,java-for-csharp,12. La biblioteca estándar del día a día,518
/es/java-for-csharp/,es,java-for-csharp,Java para desarrolladores C# — Misión,61
/es/java-for-csharp/journal/,es,java-for-csharp,Diario,188
/es/method/,es,method,Método,33
/es/rust-for-csharp-java/01-toolchain-and-cargo/,es,rust-for-csharp-java,1. Cadena de herramientas y Cargo,253
/es/rust-for-csharp-java/02-types-mutability-expressions/,es,rust-for-csharp-java,"2. Tipos, mutabilidad y expresiones",242
/es/rust-for-csharp-java/03-ownership-and-moves/,es,rust-for-csharp-java,3. Ownership y movimientos,247
/es/rust-for-csharp-java/04-borrowing-and-strings/,es,rust-for-csharp-java,4. Préstamos y cadenas,308
/es/rust-for-csharp-java/05-structs-enums-match/,es,rust-for-csharp-java,"5. Structs, enums y pattern matching",319
/es/rust-for-csharp-java/06-option-result/,es,rust-for-csharp-java,"6. Option, Result y ?",300
/es/rust-for-csharp-java/07-traits-and-generics/,es,rust-for-csharp-java,7. Traits y genéricos,349
/es/rust-for-csharp-java/08-collections-and-iterators/,es,rust-for-csharp-java,8. Colecciones e iteradores,352
/es/rust-for-csharp-java/09-lifetimes/,es,rust-for-csharp-java,9. Tiempos de vida,398
/es/rust-for-csharp-java/10-modules-crates-workspaces/,es,rust-for-csharp-java,"10. Módulos, crates y workspaces",462
/es/rust-for-csharp-java/11-smart-pointers/,es,rust-for-csharp-java,"11. Box, Rc, Arc y RefCell",415
/es/rust-for-csharp-java/12-threads-and-concurrency/,es,rust-for-csharp-java,"12. Hilos, Send/Sync, Mutex y rayon",424
/es/rust-for-csharp-java/13-async-and-tokio/,es,rust-for-csharp-java,13. async y tokio,412
/es/rust-for-csharp-java/14-tests-docs-tooling/,es,rust-for-csharp-java,"14. Tests, docs, clippy y fmt",462
/es/rust-for-csharp-java/15-macros-unsafe-ffi/,es,rust-for-csharp-java,"15. Macros, unsafe y FFI",549
/es/rust-for-csharp-java/,es,rust-for-csharp-java,Rust para desarrolladores C#/Java — Misión,63
/es/rust-for-csharp-java/journal/,es,rust-for-csharp-java,Diario,97
/es/streeling/audio-engineering/aud-001-eq-compression-order/,es,streeling,EQ y compresion: por que importa el orden en la cadena de senal,148
/es/streeling/audio-engineering/,es,streeling,Ingeniería de audio,14
/es/streeling/cognitive-science/cog-001-your-brain-lies-to-you/,es,streeling,Tu cerebro te miente — Sesgos cognitivos que todos deberian conocer,259
/es/streeling/cognitive-science/,es,streeling,Ciencia cognitiva,14
/es/streeling/computer-science/cs-001-thinking-algorithmically/,es,streeling,Pensar algoritmicamente,255
/es/streeling/computer-science/,es,streeling,Ciencias de la computación,15
/es/streeling/cybernetics/,es,streeling,Cibernética,16
/es/streeling/data-visualization/,es,streeling,Visualización de datos,14
/es/streeling/futurology/fut-001-thinking-about-tomorrow/,es,streeling,Pensar en el manana — Introduccion al pensamiento de futuros,221
/es/streeling/futurology/,es,streeling,Futurología,14
/es/streeling/guitar-acoustics/,es,streeling,Acústica de la guitarra y síntesis sonora,14
/es/streeling/guitar-alchemist-academy/gaa-001-your-first-chord/,es,streeling,Tu Primer Acorde — Mi Menor,151
/es/streeling/guitar-alchemist-academy/,es,streeling,Guitar Alchemist Academy,16
/es/streeling/guitar-studies/gtr-001-the-fretboard-map/,es,streeling,El mapa del diapason,231
/es/streeling/guitar-studies/gtr-002-caged-geometry/,es,streeling,Geometria CAGED: por que cinco formas gobiernan el diapason,159
/es/streeling/guitar-studies/,es,streeling,Estudios de guitarra,15
/es/streeling/,es,streeling,Streeling University,46
/es/streeling/information-theory/,es,streeling,Teoría de la información,14
/es/streeling/journal/,es,streeling,Diario Streeling,100
/es/streeling/mathematics/,es,streeling,Matemáticas,14
/es/streeling/mathematics/mat-001-proof-strategies/,es,streeling,Estrategias de demostracion — Como probar cosas,212
/es/streeling/music/,es,streeling,Música,19
/es/streeling/music/mus-001-what-is-a-chord/,es,streeling,Que es un acorde?,206
/es/streeling/musicology/,es,streeling,Musicología,15
/es/streeling/musicology/mcl-001-how-music-evolves/,es,streeling,Como evoluciona la musica — Breve historia de la musica occidental,189
/es/streeling/network-science/,es,streeling,Ciencia de redes,14
/es/streeling/philosophy/,es,streeling,Filosofía,14
/es/streeling/philosophy/phi-001-how-to-argue-well/,es,streeling,Como argumentar bien — Logica y pensamiento critico,252
/es/streeling/physics/,es,streeling,Física,14
/es/streeling/physics/phy-001-science-of-guitar-sound/,es,streeling,La ciencia del sonido de la guitarra,187
/es/streeling/product-management/,es,streeling,Gestión de productos y proyectos,14
/es/streeling/product-management/pm-001-shipping-vs-talking/,es,streeling,Entregar vs hablar — Como saber si realmente estas construyendo algo,216
/es/streeling/psychohistory/,es,streeling,Psicohistoria,15
/es/streeling/psychohistory/psy-001-intro-fractal-compounding/,es,streeling,Introducción al Compuesto Fractal,174
/es/streeling/semiotics/,es,streeling,Semiótica,14
/es/streeling/visual-computing/,es,streeling,Computación visual,78
/es/streeling/world-music-languages/,es,streeling,Músicas y lenguas del mundo,14
/es/streeling/world-music-languages/wml-001-guitar-around-the-world/,es,streeling,"La guitarra alrededor del mundo — Un instrumento, muchas tradiciones",262
/es/wsl-containers/01-concepts/,es,wsl-containers,1. Conceptos,80
/es/wsl-containers/02-installation/,es,wsl-containers,2. Instalación,134
/es/wsl-containers/03-first-containers/,es,wsl-containers,3. Primeros contenedores,149
/es/wsl-containers/04-build-an-image/,es,wsl-containers,4. Construir una imagen,441
/es/wsl-containers/05-wslc-vs-docker/,es,wsl-containers,5. ¿wslc o Docker Desktop?,160
/es/wsl-containers/,es,wsl-containers,WSL containers — Misión,49
/es/wsl-containers/journal/,es,wsl-containers,Diario,884
/fr/artifacts/,fr,artifacts,Artefacts,32
/fr/duckdb/01-first-queries/,fr,duckdb,1. Premières requêtes,474
/fr/duckdb/02-friendly-sql/,fr,duckdb,2. Friendly SQL,341
/fr/duckdb/03-nested-data/,fr,duckdb,3. Données imbriquées,326
/fr/duckdb/04-files/,fr,duckdb,4. Fichiers,358
/fr/duckdb/05-csharp/,fr,duckdb,5. DuckDB depuis C#,350
/fr/duckdb/06-java/,fr,duckdb,6. DuckDB depuis Java,339
/fr/duckdb/07-performance/,fr,duckdb,7. Performance,448
/fr/duckdb/08-persistence/,fr,duckdb,"8. Persistance, transactions et concurrence",394
/fr/duckdb/,fr,duckdb,DuckDB — Mission,70
/fr/duckdb/journal/,fr,duckdb,Journal,77
/fr/github-actions/01-first-workflow/,fr,github-actions,1. Premier workflow,223
/fr/github-actions/02-build-and-test/,fr,github-actions,2. Compiler et tester .NET et Java,268
/fr/github-actions/03-triggers/,fr,github-actions,"3. Déclencheurs, filtres et concurrence",216
/fr/github-actions/04-expressions-and-outputs/,fr,github-actions,"4. Expressions, contextes et outputs",271
/fr/github-actions/05-caches-and-artifacts/,fr,github-actions,5. Caches et artefacts,323
/fr/github-actions/06-reuse/,fr,github-actions,6. Workflows réutilisables et actions composites,272
/fr/github-actions/07-security/,fr,github-actions,"7. Sécurité : permissions, secrets, épinglage, OIDC",250
/fr/github-actions/08-pages/,fr,github-actions,8. Déployer sur GitHub Pages,223
/fr/github-actions/09-debugging/,fr,github-actions,9. Déboguer les exécutions,305
/fr/github-actions/10-custom-action/,fr,github-actions,10. Écrire sa propre action,270
/fr/github-actions/,fr,github-actions,GitHub Actions — Mission,54
/fr/github-actions/journal/,fr,github-actions,Journal,110
/fr/,fr,,learn,90
/fr/java-for-csharp/01-jdk-and-build-tools/,fr,java-for-csharp,1. Le JDK et les outils de build,401
/fr/java-for-csharp/02-types-and-operators/,fr,java-for-csharp,"2. Types, égalité et opérateurs",349
/fr/java-for-csharp/03-classes-records-enums/,fr,java-for-csharp,"3. Classes, records et enums",562
/fr/java-for-csharp/04-generics-and-erasure/,fr,java-for-csharp,4. Génériques et effacement de type,477
/fr/java-for-csharp/05-exceptions-null-optional/,fr,java-for-csharp,"5. Exceptions, null et Optional",577
/fr/java-for-csharp/06-lambdas-and-functional-interfaces/,fr,java-for-csharp,6. Lambdas et interfaces fonctionnelles,458
/fr/java-for-csharp/07-collections-and-streams/,fr,java-for-csharp,7. Collections et Streams,449
/fr/java-for-csharp/08-pattern-matching/,fr,java-for-csharp,8. Pattern matching,462
/fr/java-for-csharp/09-concurrency-and-virtual-threads/,fr,java-for-csharp,9. Concurrence et threads virtuels,647
/fr/java-for-csharp/10-maven-and-gradle-in-depth/,fr,java-for-csharp,10. Maven et Gradle en profondeur,556
/fr/java-for-csharp/11-testing/,fr,java-for-csharp,11. Tests,546
/fr/java-for-csharp/12-standard-library/,fr,java-for-csharp,12. La bibliothèque standard du quotidien,518
/fr/java-for-csharp/,fr,java-for-csharp,Java pour développeurs C# — Mission,61
/fr/java-for-csharp/journal/,fr,java-for-csharp,Journal,188
/fr/method/,fr,method,Méthode,33
/fr/rust-for-csharp-java/01-toolchain-and-cargo/,fr,rust-for-csharp-java,1. Chaîne d'outils et Cargo,253
/fr/rust-for-csharp-java/02-types-mutability-expressions/,fr,rust-for-csharp-java,"2. Types, mutabilité et expressions",242
/fr/rust-for-csharp-java/03-ownership-and-moves/,fr,rust-for-csharp-java,3. Possession et déplacements,247
/fr/rust-for-csharp-java/04-borrowing-and-strings/,fr,rust-for-csharp-java,4. Emprunts et chaînes,308
/fr/rust-for-csharp-java/05-structs-enums-match/,fr,rust-for-csharp-java,"5. Structs, enums et pattern matching",319
/fr/rust-for-csharp-java/06-option-result/,fr,rust-for-csharp-java,"6. Option, Result et ?",300
/fr/rust-for-csharp-java/07-traits-and-generics/,fr,rust-for-csharp-java,7. Traits et génériques,349
/fr/rust-for-csharp-java/08-collections-and-iterators/,fr,rust-for-csharp-java,8. Collections et itérateurs,352
/fr/rust-for-csharp-java/09-lifetimes/,fr,rust-for-csharp-java,9. Durées de vie,398
/fr/rust-for-csharp-java/10-modules-crates-workspaces/,fr,rust-for-csharp-java,"10. Modules, crates et workspaces",462
/fr/rust-for-csharp-java/11-smart-pointers/,fr,rust-for-csharp-java,"11. Box, Rc, Arc et RefCell",415
/fr/rust-for-csharp-java/12-threads-and-concurrency/,fr,rust-for-csharp-java,"12. Threads, Send/Sync, Mutex et rayon",424
/fr/rust-for-csharp-java/13-async-and-tokio/,fr,rust-for-csharp-java,13. async et tokio,412
/fr/rust-for-csharp-java/14-tests-docs-tooling/,fr,rust-for-csharp-java,"14. Tests, docs, clippy et fmt",462
/fr/rust-for-csharp-java/15-macros-unsafe-ffi/,fr,rust-for-csharp-java,"15. Macros, unsafe et FFI",549
/fr/rust-for-csharp-java/,fr,rust-for-csharp-java,Rust pour développeurs C#/Java — Mission,63
/fr/rust-for-csharp-java/journal/,fr,rust-for-csharp-java,Journal,97
/fr/streeling/audio-engineering/aud-001-eq-compression-order/,fr,streeling,EQ et compression : pourquoi l'ordre de la chaîne de signal compte,148
/fr/streeling/audio-engineering/,fr,streeling,Ingénierie audio,14
/fr/streeling/cognitive-science/cog-001-your-brain-lies-to-you/,fr,streeling,Votre cerveau vous ment — Les biais cognitifs que tout le monde devrait connaître,259
/fr/streeling/cognitive-science/,fr,streeling,Sciences cognitives,14
/fr/streeling/computer-science/cs-001-thinking-algorithmically/,fr,streeling,Penser algorithmiquement,255
/fr/streeling/computer-science/,fr,streeling,Informatique,15
/fr/streeling/cybernetics/,fr,streeling,Cybernétique,16
/fr/streeling/data-visualization/,fr,streeling,Visualisation de données,14
/fr/streeling/futurology/fut-001-thinking-about-tomorrow/,fr,streeling,Penser à demain — Introduction à la pensée prospective,221
/fr/streeling/futurology/,fr,streeling,Futurologie,14
/fr/streeling/guitar-acoustics/,fr,streeling,Acoustique de la guitare et synthèse sonore,14
/fr/streeling/guitar-alchemist-academy/gaa-001-your-first-chord/,fr,streeling,Votre Premier Accord — Mi Mineur,153
/fr/streeling/guitar-alchemist-academy/,fr,streeling,Guitar Alchemist Academy,16
/fr/streeling/guitar-studies/gtr-001-the-fretboard-map/,fr,streeling,La carte du manche,231
/fr/streeling/guitar-studies/gtr-002-caged-geometry/,fr,streeling,La géométrie du CAGED : pourquoi cinq formes gouvernent le manche,159
/fr/streeling/guitar-studies/,fr,streeling,Études de guitare,15
/fr/streeling/,fr,streeling,Streeling University,46
/fr/streeling/information-theory/,fr,streeling,Théorie de l'information,14
/fr/streeling/journal/,fr,streeling,Journal Streeling,100
/fr/streeling/mathematics/,fr,streeling,Mathématiques,14
/fr/streeling/mathematics/mat-001-proof-strategies/,fr,streeling,Stratégies de démonstration — Comment prouver les choses,212
/fr/streeling/music/,fr,streeling,Musique,19
/fr/streeling/music/mus-001-what-is-a-chord/,fr,streeling,Qu'est-ce qu'un accord ?,206
/fr/streeling/musicology/,fr,streeling,Musicologie,15
/fr/streeling/musicology/mcl-001-how-music-evolves/,fr,streeling,Comment la musique évolue — Brève histoire de la musique occidentale,189
/fr/streeling/network-science/,fr,streeling,Science des réseaux,14
/fr/streeling/philosophy/,fr,streeling,Philosophie,14
/fr/streeling/philosophy/phi-001-how-to-argue-well/,fr,streeling,Bien argumenter — Logique et pensée critique,252
/fr/streeling/physics/,fr,streeling,Physique,14
/fr/streeling/physics/phy-001-science-of-guitar-sound/,fr,streeling,La science du son de la guitare,187
/fr/streeling/product-management/,fr,streeling,Gestion de produit et de projet,14
/fr/streeling/product-management/pm-001-shipping-vs-talking/,fr,streeling,Livrer vs parler — Comment savoir si vous construisez vraiment quelque chose,216
/fr/streeling/psychohistory/,fr,streeling,Psychohistoire,15
/fr/streeling/psychohistory/psy-001-intro-fractal-compounding/,fr,streeling,Introduction à la Capitalisation Fractale,174
/fr/streeling/semiotics/,fr,streeling,Sémiotique,14
/fr/streeling/visual-computing/,fr,streeling,Informatique visuelle,78
/fr/streeling/world-music-languages/,fr,streeling,Musiques et langues du monde,14
/fr/streeling/world-music-languages/wml-001-guitar-around-the-world/,fr,streeling,"La guitare autour du monde — Un instrument, de multiples traditions",262
/fr/wsl-containers/01-concepts/,fr,wsl-containers,1. Concepts,80
/fr/wsl-containers/02-installation/,fr,wsl-containers,2. Installation,134
/fr/wsl-containers/03-first-containers/,fr,wsl-containers,3. Premiers conteneurs,149
/fr/wsl-containers/04-build-an-image/,fr,wsl-containers,4. Construire une image,441
/fr/wsl-containers/05-wslc-vs-docker/,fr,wsl-containers,5. wslc ou Docker Desktop ?,160
